Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Nuts, cashew nuts, raw",565,17.4,38.9,36.3,638.0,42.0,251.0
"Nuts, macadamia nuts, raw",712,7.79,64.9,24.1,373.0,52.7,107.0
"Nuts, pine nuts, raw",689,15.7,61.3,18.6,655.0,8.74,206.0
"Nuts, pistachio nuts, raw",598,20.5,45.0,27.7,947.0,117.0,110.0
"Nuts, brazilnuts, raw",664,15.0,57.4,21.6,592.0,168.0,351.0
"Nuts, almonds, whole, raw",626,21.5,51.1,20.0,733.0,254.0,258.0
"Nuts, hazelnuts or filberts, raw",641,13.5,53.5,26.5,636.0,135.0,156.0
"Nuts, pecans, halves, raw",750,9.96,73.3,12.7,360.0,54.8,103.0
"Nuts, walnuts, English, halves, raw",730,14.6,69.7,10.9,424.0,88.3,142.0
"Nuts, almonds, dry roasted, with salt added",620,20.4,57.8,16.2,684.0,273.0,258.0
"Almond butter, creamy",645,20.8,53.0,21.2,745.0,264.0,268.0
"Flaxseed, ground",545,18.0,37.3,34.4,793.0,230.0,372.0
"Flour, almond",622,26.2,50.2,16.2,667.0,232.0,251.0
"Flour, chestnut",385,5.29,4.64,80.5,1030.0,55.8,68.8
"Flour, coconut",438,16.1,15.3,58.9,2090.0,36.0,248.0
"Seeds, pumpkin seeds (pepitas), raw",555,29.9,40.0,18.7,691.0,37.4,500.0
"Seeds, sunflower seed kernels, dry roasted, with salt added",612,21.0,56.1,17.1,689.0,78.0,358.0
"Seeds, sunflower seed, kernel, raw",609,18.9,48.4,24.5,657.0,116.0,302.0
"Sesame butter, creamy",697,19.7,62.4,14.2,408.0,116.0,357.0
